"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"chaswe-28402","1 March 2018","The message of this film is that there is no symmetry to life. What goes around does not come around. The fall of the coin has no bearing on the way the cookie crumbles. There is no right or wrong to the fates of men. No justice. Opportunities seized may lead on to fortune, but they could just as well lead on to dusty death. Only children expect things to be fair. As things once were they need no longer be. Now that IMDb has decided to list reviews by date there is a slightly increased possibility that this effort will be read by someone. Performance reviews are absolutely not read by me for helpfulness, but for interest and entertainment.","
            10/10
            "
"Hitchcoc","12 January 2010","This film grabs you and doesn't let go. There is so much tension and so much pain and so much death. I can think of a more despicable villain in my movie viewing past. This is a stretch for me because I am really tired of gratuitous violence. The scenes here are so graphic and fast paced, deaths of innocents and perhaps, the deserving. I guess I should read the book for some insights. The grim reaper is around the corner and he has an air compressor not a scythe. I'm curious to see what other things Bardem has done. He is certainly a presence. Of all the scenes that will stay with me, the one at the hole in the wall gas station when the first coin is flipped is the most intense. There has been so much commentary. All I can say is it was like watching an accident; you can't take your eyes off it.","
            9/10
            "
"FLASHP01NT","9 September 2020","The meaning of Sheriff Bell's dream was that he was ashamed of himself because his fear of death prevented him from doing his duty.
In other words: Ed knew the criminal was in the motel room, but his fear of death prevented him from doing his job, which, in this case, was to die honorably in the line of duty.He interprets this moral failure as a desecration of the legacy of his father.This is contrast with the moral failure of Anton: Anton killed the woman who refused to play his coin game, which forced him to assume the moral responsibility for murdering her. This incident is immediately followed with Anton's car accident, which represents him being punished by God and forced to rely on the charity of others for survival. This is why Anton demands the kid take the money in exchange for the shirt - because he recognizes that he's being punished (i.e. he recognizes the charitable symbol and that he doesn't deserve charity) which is an indirect admission of guilt.","
            8/10
            "
"Hey_Sweden","9 February 2013","Opinions do look to be sharply divided on this typically interesting effort for the Coen brothers. Some hail it a masterpiece, others don't see the appeal at all. While this viewer doesn't quite fit into the former camp, he will say that it's one of the more unconventional examples of crime fiction that one is likely to see. It's much more of a character piece than anything, with some grisly scenes of violence here and there. Based on the novel by Cormac McCarthy, it centres around three characters, one being a poor hunter named Llewelyn Moss (Josh Brolin), who one day stumbles into the aftermath of some drug deal gone horribly wrong. He finds $2 million on the scene and impulsively decides to keep the money for himself, while a mysterious, creepy, sadistic stranger named Anton Chigurh (Javier Bardem) tracks him down, porting a unique pressurized air weapon. Somewhat involved is a weary Texas sheriff, Ed Tom Bell (Tommy Lee Jones), who's unsettled by what he sees as the changing times. Now, granted, what's going to test the patience of some of the viewers are some of the monologues; this isn't for people who want a straightforward story and who are turned off by philosophical musings. One can hardly fail to notice how low key most of this narrative is; even in the more intense scenes there's never really a sense of urgency. On the plus side, what we do get are some excellent character moments from the solid star trio of Brolin, Bardem, and Jones. The supporting cast is equally impressive - Woody Harrelson, Kelly Macdonald, Garret Dillahunt, Tess Harper, Barry Corbin, Stephen Root, and Beth Grant. The Coens work with some of their reliable prior collaborators such as composer Carter Burwell and cinematographer Roger Deakins. All things considered, ""No Country for Old Men"" may not be to all tastes, and does require some patience on the part of the viewer. It also doesn't resolve itself in the way one might expect for this genre, and might prove to be less than satisfactory in this regard for some of those watching. There's one fantastic confrontation near the end, but the film closes, curiously enough, after a monologue by Bell about a dream he's had. How much or how little all of this works will be up to the individual viewer. In any event, the actors are all fantastic, especially Bardem, and they make the journey worthwhile. Eight out of 10.","
            8/10
            "
"Sonic_Ocean","20 June 2013","I expect a film like 'No Country for Old Men' to be polarizing for some, especially if they're expecting a big finale with the good guy and the bad guy drawing their guns in the end to settle the score. 'No Country for Old Men' is a film that dabbles more in existentialism, despite all the crime that occurs. Basically, what I'm saying is that the film adapted from the novel is very unconventional not only for its genre, but also in its approach to storytelling. What the Coen brothers do best is combining altogether different elements and creating something with its own unique character. While there are subtle throwbacks to the old wild west, the story takes place in modern society where technology has advanced, society has advanced and unfortunately crime has too.What are Anton Chigurh's true motives? Does he have a philosophical doctrine that we the audience are unaware of or are just unable to comprehend? What Anton does is create a lot of questions that arise from his actions and his interactions with the other characters. To watch a character as odd as him is fascinating and I cannot give enough credit to Javier Bardem in portraying such a character that is so enigmatic and just his presence alone is able to evoke so much mystery. Even though Anton is very incomprehensive, it is all made up for by being able to be somehow captivated by him.How every character deals with Anton is interesting, to say the least and as the film progresses, the feeling of despondency increases gradually. The lack of heroes is what gives this film its sense of hopelessness and that feeling of hopelessness is basically set in stone from the first few shots coupled with Tommy Lee Jone's epic voice-over narration in introducing the story. It is the perfect introduction to what we will witness in the story and what it all means for a sheriff like him in comprehending these events. As the events occur, we the audience reflect on these situations just as much as Sheriff Ed Tom Bell. Tommy Lee Jones' performance in this role is impressive and is injected with a great sense of humanity. I commend his portrayal as Bell, in that he is the character who carries the weight of the story.The acting is a huge fragment in bringing this film to life, but what also does that is how the visuals are executed and it is definitely utilized to a great effect. From its majestic shots to its beautiful lighting and color tones, the Coen brothers set a mood that permeates the whole film. Its barren settings really add a feeling of desolation that is at the same time hypnotic and surreal. While the film can be suspenseful and its suspense is definitely executed perfectly, the film still somehow manages to maintain an air of mystique. The non-existence of a soundtrack really gives the film a feeling of loneliness, all the while adding an even greater sense of sterility to its already barren wasteland.I can go on and on about the great acting, its memorable shots and its great script, but what makes 'No Country' a great film is that it manages to be truly idiosyncratic in its execution just like how the Coen Brothers' other great films are. Even if a film like this leaves me more questions than answers, if it still manages to captivate me to a point that I'm willing to return to it, then that shows that it doesn't matter if I don't have any answers to my questions. There are only a few films that are able to pull this off naturally and 'No Country for Old Men' is definitely one of those special films that can do just that.","
            10/10
            "
"Robert_duder","10 February 2008","People who watch these critical darlings really amuse me. They use words like ""hauntingly flawed"" or ""beautiful and haunting"" or ""stayed with me for days."" No Country For Old Men, at least the first hour and a half is main stream, well done, captivating, gory drama, thriller, action western and then the last half hour takes the film into this queer, nonsensical, blathering of artistic garbage that only someone who pretends to understand would care about. I do understand where they are trying to go with the film...the moral is...times have changed. Was that so hard to say? Instead they create an entire character, use a first class actor to portray him who does little to nothing in the entire film because artistically he's ""washed up and tired of the world."" It doesn't come across like that at all. The infamous Coen Brothers drop this interesting thriller/drama on you with this in depth creation of a serial killer who is just completely hell bent and disturbing and then they toss the entire story away on a disgustingly stupid and boring ending never giving closure to anything that they set up prior. I almost wonder if they did it on purpose as some sort of a cruel joke. I mean it feels like they got to a certain point in the film where they should have ended it but decided, 'no let's tack another 45 minutes on it but just ram whatever we come up with on to it.' As one IMDb reviewer pointed out...it feels tacked on and like a completely different movie. Josh Brolin is really terrific as country man Llewelyn Moss. As we quickly discover Moss is not as country and as stupid as he might come across. In fact he's quick witted, honest, and a fast study. He turns out to be a formidable opponent to a killer who has never had a formidable opponent. Brolin is terrific in the role. A worthy hero whose character is demeaned by its ending. Javier Bardem...well if anyone actually deserves Oscar nomination for this film it might be him. Bardem plays steely cold, brutal and ruthless killer for hire and for fun Anton Chigurh. He is a strange and interesting character who we learn and know little to nothing about. He seems to like games, and he seems to be brilliant and subversive. His straight expressions and monotoned voice make him downright disturbing. The wasted actor on the pointless character I mentioned is the amazing Tommy Lee Jones who doesn't get to be very amazing as the tired, worn out old Sheriff Ed Tom Bell. Jones is a phenomenal actor but he's almost useless in this role. He stumbles around a crime scene or two intelligently pointing out facts and then spewing wisdom about how things have changed and then doing nothing else. Very unfortunate.When it comes down to the very clever cat and mouse game between Brolin and Bardem, the film is brilliant. Bloody, and riveting and the story is starting to unfold but everything goes by the wayside. The key here is that so much of the story is unknown to us. An entire bloody battle over drugs has transpired and we know little to nothing about it. We only know this insane serial killer enters the picture and wants the money found and kept by Brolin's character.*******SPOILERALERT**********This is one time I can't help but spoil the film because I need to rant about it. The film goes down hill when, outside of the viewers sight, they cheaply kill off the main character of Llewelyn Moss, by Mexicans who also want the money. We don't see the kill...there is never any show down of any kind between Brolin's Moss and Bardem's Chigurh, and after that death the film literally just goes to pieces. However, outside of the horribly misplaced and mis-made ending, No Country For Old Men will likely impress you. It is shot in such a style that it feels like an old Western...the long, single shots and the gritty sand swept desert. Still fatal flaws make this one a poor choice by the Academy. 7/10","
            7/10
            "
"Xstal","29 April 2023","An opportunity presents to get rich quick, a stash of cash made up of bills thick as a brick, but your conscience sets a trail, for a reaper to assail, a real psycho, has a vessel with a kick. You start to make a run, but you're tracked down, these pursuers cause a grimace, and a frown, until you spot the hidden tracker, locater for deadly attacker, you make escape, but get injured, as you leave town. Determination keeps the story rolling on, everyone risks, the singing of, their own swan song, the lives of others are ignored, fate, luck, destiny explored, but the bounty counts for nothing, if you're long gone.Some of the finest cinematic characters you'll encounter.","
            8/10
            "
"Lechuguilla","13 July 2008","While on a hunting trip, a sportsman (Josh Brolin) finds dead men and a stash of cash in the remote back country of West Texas, the result of a drug deal gone wrong. The greedy hunter takes the cash, but soon discovers that the resourceful criminal responsible for the drug deal, an outlaw named Anton Chigurh (Javier Bardem), has a way of tracking the loot. The hunter thus finds that he is the hunted. Meanwhile, an aging Texas sheriff named Ed Tom Bell (Tommy Lee Jones) is after both the sportsman and Chigurh. The story is set in the early 1980s.To some extent, this film is a character study of Sheriff Bell, an honest lawman who is wise, observant, grounded in reality, and has a long memory. ""No Country For Old Men"" is really his story. He doesn't know quite what to make of the drug war that has crossed over from Mexico into Texas; it's something new (for the 1980s); and it makes a land that has always been hostile to settlers even more hostile and dangerous.The film's premise is quite simple, and the story is straightforward with minimal twists. A lot of time and care are taken with procedural actions: loading a gun, dressing a bloody wound, constructing a pole to retrieve a package from an air vent, for example. Dialogue is minimal; there's lots of silence.Overall casting and acting are impressive. I especially liked the performance of Tommy Lee Jones who seemed a natural choice for the role of Sheriff. Javier Bardem and Josh Brolin are also well cast. Several minor roles are extremely well performed, like the store owner who is asked to call a coin toss, and the rotund lady who, with a dour face, defies Chigurh's requests in a characteristic Texas twang.The film's color cinematography is quite good; there are lots of sweeping, wide-angle outdoor shots. I really enjoyed the geographic setting, with that whistling West Texas wind, the silence, and the stunning vistas. It's a landscape that is starkly beautiful. Yet, despite its beauty and wilderness traits, it can quickly turn hostile and unforgiving for anyone unprepared for its hidden risks.""No Country For Old Men"" is a fine film. I'd describe it as a chase story -- character study combo, with elements of noir, especially in the visuals. Violence may be a tad much for some viewers. But given the subject matter, it is entirely appropriate.","
            9/10
            "
"Quinoa1984","9 November 2007","No Country for Old Men is as exceptional a mix of two creative talents- the Coen brothers, Joel and Ethan Coen, and author Cormac McCarthy (recent winner of the Pulitzer for The Road, his own masterpiece) as one could imagine, as they converge on a story that in lessor hands would be just a B movie. The story concerns an average Joe out hunting one day in Texas who comes across a bunch of dead bodies, heroin, and a satchel with 2 million in cash. He takes it, but without knowing that a true embodiment of a psychopath (Javier Bardem) is on his trail, and as he evades him it becomes more and more clear the fatalism that lies in store, as a weathered sheriff (Tommy Lee Jones) is also on the trail with perpetulally sad eyes looking on from his stolid demeanor. More than this, it's also about as good a morality play as one could ask for, because it plays and tools and makes very serious questions about what is moral, or what isn't, or what is so ambiguous that it's all up to the toss of a coin or a chance ride out of town. There are a few interpretations to Bardem's character Anton that could be taken, but one thing is certain- he's less a symbol than a real presence, a ""ghost"" as Jones's sheriff calls him that can come around at the drop of a pin, usually in the dark, and strike the utmost fear (or confusion if you're a clerk) in the hearts of men and women. You'll never look at a coin toss the same way again. Or an air-gun. Or fixing a bullet wound in a leg. Or a hunt at a motel. Or even the aftermath of a car crash.But at the same time it's the purest time of cinema, recalling Hitchcock and Leone and Welles's Touch of Evil and the best of noir and westerns. There are so many exceptional shots and lighting, so much depth to the perception of the characters through the mis-en-scene, so much tension, that through this it's all up to the actors to make or break the near-perfection that is the McCarthy source. Bardem embodies Anton like no other could- you can't look at his eyes, often steel-cold and horrifically professional (to what professional who can say), which occasional tear- and it's obviously worthy of an Oscar. And Josh Brolin and Tommy Lee Jones are also fantastic; we see Brolin often in the midst of an action scene, a moment of 'save-your-life' going on, and one can finally see an actor of his caliber completely breaking out in a role that doesn't require him to ever totally ""emote"". Jones, on the other hand, gives a compassionate turn in a film that's about the struggles of desperate men in a land without law and order. He's gone through so much that it comes out completely in his voice and eyes, sorrowful but holding back, and he reaches a level of connection with the character that makes the Fugitive look like simpleton TV. Kelly McDonald, who plays Lleland's wife, is also excellent when called upon, especially in a crucial scene later in the film.It's gut-wrenching, bleak, violent, super-tense (I clenched many a knuckle during some scenes), surprisingly funny in a darkly comic manner not seen by the Coens in many years, and artistically fashioned to a beat that is meditative (watch the opening moments with Jones's voice-over), simple, and doomed. It's beautiful and terribly tragic, for McCarthy fans it finally strikes at what is truest to his material- even if you haven't read the book itself the Road will give an indication of the mood and atmosphere at hand- and at the moment I can't think of any other film that would be the best pick of the year- maybe one of the best films I've ever seen.","
            10/10
            "
"motta80-2","16 May 2007","If this doesn't end my year in the top two films of the year then we are in for one hell of an awesome year of movies.The new film from two of the best filmmakers working today No Country For Old Men shows the talents of the Coen Brothers on top form. After a couple of disappointments (Intolerable Cruelty had flashes of Coen genius but felt more of a Coen imitation than the real thing; Ladykillers had the odd funny moment but was the blandest film the brothers ever made, and there's just no excusing Marlon Wayans!) they knock this violent western drama out of the park.More in the vein of their superb early mostly-serious efforts Blood Simple and Miller's Crossing (my personal favourite of the Coen back catalogue) No Country For Old Men is a slow-moving, character-driven masterpiece about uncompromising and uncompromised characters. It is very violent and bloody and not always for the squeamish.Shot through with moments of humour these come, as in life, from real situations and observations so don't be fooled into thinking this will be the serious film with goofy-characters Coens of Fargo. No Country For Old Men is a tough, gritty story.The unrelenting pace may take its time but you are gripped every moment. This is a thriller that genuinely thrills.Javier Bardem gives the best performance of his career. And, yes, I have seen The Sea Inside and he in superb in that but here he is simply extraordinary. It is a portrayal of unrelenting evil, of true derangement, of a human being with no shreds of humanity that ranks at the very top of studied film psychopaths. And I say film not movie because this is not a clichéd character. This is not a character whose lunacy you enjoy over popcorn. This is one of the most frightening performances ever committed to celluloid. I felt truly nervous of what was going to happen every time he walked on screen.Josh Brolin essentially carries the bulk of the movie and he is excellent in a role that challenges him. I have never seen him perform to this level and if Bardem didn't steal the film you'd be talking about Brolin all the way home. As it is this gives him a showcase for his talents that should see him get a lot more attention.Tommy Lee Jones is used sparingly but to great effect. Sounding more like Michael Parks than ever before his scenes pepper the movie with a wearied view on a world he doesn't really like or understand to great effect.I did find Stephen Root a little distracting as i have never seen him in a serious role before and he just looks amusing but he is in very little.Roger Deakins' cinematography is breathtaking as usual and the Coens' script is superbly crafted. There are moments, almost asides from the main plot, that would be superfluous in most scripts and excised in most studio films but which work perfectly in the overall context of the movie as only the Coens can achieve. One scene featuring Bardem in a gas station is up there with the best scenes i have ever seen on film.I have not gone into the plot here because I saw this film having not read Cormac McCarthy novel and knowing little other than the basic log-line - a man out hunting comes upon a scene of dead bodies, guns, drugs and money on the Mexican border and comes to the attention of both those behind the scene and a local world-wearied sheriff - and i think that's the way to see this film.Go in knowing as little as you can but knowing at least this: this is a serious, violent, slow-paced character piece from the Coens. This is not a Fargo. If you are squeamish don't see it. If you have a short-attention span don't see it. If you only love the Coens for their fantastic comedies like O Brother and Big Lebowski and the comedy/thriller Fargo don't see it. But if you want to see an intelligent, superbly acted, powerful, beautiful cinematic treat that will remind you of the true power of cinema see it, see it, see it. It's a masterpiece. Bravo Ethan and Joel.","
            10/10
            "
