"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"MovieAddict2016","26 July 2004","""I know I'm human. And if you were all these things, then you'd just attack me right now, so some of you are still human. This thing doesn't want to show itself, it wants to hide inside an imitation. It'll fight if it has to, but it's vulnerable out in the open. If it takes us over, then it has no more enemies, nobody left to kill it. And then it's won.""John Carpenter's ""The Thing"" is one of the most entertaining horror films ever made  fast, clever and purely exciting from start to finish. This is how all movies of the genre should be made.Taking place in the Antarctic in 1982, the movie focuses specifically on a group of American scientists. We are given no introduction to their mission, but are thrust into their existence when a pair of seemingly crazy Norwegians appears at their base camp, chasing an escaped dog. The Norwegians are killed, and the dog finds its way into the colony, which is when things really start to get crazy.It is soon made quite clear that the ""dog"" is actually a shape-shifting alien organism, which manifests itself upon the physical form of its victims  in other words, it begins to eat the Americans, and imitate them so well that the remaining humans cannot discern the difference between their friends and enemiesThe pack of scientists, led by MacReady (Kurt Russell), begin to fight for their own survival, using wits instead of brawn. If the Thing is indeed amongst them, then how are they to go about revealing it? How many Things are there? How can the Thing be killed? (Or can it be destroyed at all?)The creature's origins in the film are explained easily: Thirty thousand years ago a spacecraft plummeted to Earth, and was frozen in the Antarctic ice. The Thing tried to escape, and was discovered in the ice by the Norwegians, who unknowingly released it from its natural prison.""The Thing,"" the movie itself, is similar to Ridley Scott's iconic ""Alien"" (1979). Many comparisons have been made  the protagonists are stranded in a desolate area, stalked by a seldom seen foe that manages to kill them off one-by-one. However, ""The Thing""  for all practical purposes  came first.Based on the famous short story ""Who Goes There?"" by John W. Campbell, Jr. (writing under pseudonym as Don A. Stuart), the film was originally adapted as a feature production in 1951 by Howard Hawks and Christian Nyby. The result was ""The Thing From Another World,"" an unarguable classic. But to be fair, it bore little resemblance to the short story, and Carpenter's remake does it more justice.The idea of the Thing being able to adapt the physicality of anyone is what essentially makes this movie so great, and is the most vital link to the short story. In 1951 the special effects were simply too poor to reasonably portray the shape-shifting organism, but thirty-one years brought many advances in SFX.Creature effects artist Rob Bottin does an excellent job of turning what could have easily become a cheesy gore-fest into a startlingly frightening (and realistic) mess of blood and fear. The Thing, although never actually taking one specific form, is constantly seen in a morphing stage, and the effects are simply superb. They still pack a punch twenty-two years later.Ennio Morricone's score (nominated for a Razzie Award at the time) is a bit too electronic and tinny, but nevertheless haunting when used correctly.
From the fact that its cast consists entirely of males, to the fact that its ending is one of the most thought-provoking and untypical conclusions of all time, ""The Thing""  by any standards  is unconventional Hollywood at its best. It comes as no surprise that, at the time of its release, ""The Thing"" performed poorly in theaters, and ""E.T.""  released the same year and featuring a much kinder alien  became the higher-grossing picture of the two (by far).In the long run, however, ""The Thing"" is superior in almost every conceivable way. Spielberg's tale is outdated and flopped during its 20th Anniversary Re-Release. ""The Thing,"" on the other hand, has gradually climbed a ladder of cult classics  it is one of the most famous non-famous movies ever made.Carpenter is notorious for having a very uneven career  from his amazing ""Assault on Precinct 13"" (1976) to the magnificent ""Halloween"" (1978) to the disappointing and silly ""Escape from L.A."" (1996), ""The Thing"" remains his very best motion picture. Although its reputation over the years has never been honorary enough to land it a spot on most ""great movies"" lists, ""The Thing"" is still one of my favorite horror films, and  upon close inspection  masterfully crafted. It is a daring and ingenious thrill-ride that is simultaneously unique and chilling  a genuine relief for film buffs who are tired of the same old horror knock-offs. This one, at the very least, is genuinely unpredictable.","
            10/10
            "
"ivo-cobra8","31 October 2015","A classic film. John Carpenter's ""The Thing"" is one of the most entertaining horror films ever made - fast, clever and purely exciting from start to finish. It is one of my personal favorite horror movies. This is how all movies of the genre should be made. Set on an isolated base in Antarctica, this version seems almost to pick up where the original version (The Thing From Another World) left off. The American scientists discover a decimated Norwegian base some miles distant. Everyone is dead, and only the half charred remains of some unidentifiable thing left to smolder outside the compound might offer any answers to what may have happened. The Thing is brought back to the American base and, too late, the scientists realize that it is alive and lethal. The Thing thaws out and is off, not only killing anyone and anything that crosses Its path, but also absorbing them, making Itself into whoever and whatever it wants. The film then turns into a brilliant paranoia piece. Everyone is suspect, anyone can be The Thing, and no one trusts anyone anymore. Gone is the strength and security found when human beings band together in spite of their differences to battle a monster. The group splinters and fear rules supreme. Who is the Thing?Seriously I Love this movie I love it To Death. I love Escape From New York and I love Escape From L.A. but I also love The Thing so much better this is definitely the best Carpenter film a truly masterpiece classic I love R.J. MacReady - Kurt Russell I love everything about this film that is. Science Fiction, Horror and an Action Epic Film. A lot of the practical effects were left out but the it looked nice and the acting was good and it expanded upon the monsters background and showing you the inside of the ship. It must of been tough to bring across on screen the visual design. In my opinion, nobody has topped this film in the 25-odd years since its release. I'll put any of ""The Thing's"" old-school effects up against any CGI-driven movie, or this cast against almost any other ensemble. If you haven't seen the film yet, I envy you because I WISH I could see ""The Thing"" again for the first time. WOW! Does more need to be said? How about this...there is no parallel. Who's your friend? Who's the Thing? Who do you trust? Who can you afford to trust? If you've never seen this movie...your in for a treat. The only other movie that had such an impact on me was The Matrix (the first movie)...where I left the theater touching the walls wondering if they were really real. This movie will leaving you wondering....is the guy/gal next to you really real?""Trust is a tough thing to come by these days."" John Carpenter's The Thing is a seminal piece of horror that is not only a fine specimen of its era, but it also serves as a shining example of horror done absolutely right in any era. Combining gross-out special effects reminiscent of Hellraiser, the nail-bitingly intense, claustrophobic filmmaking of Alien, offering a story that is very well-paced, such as George A. Romero's Dawn of the Dead, and presenting the idea that true terror can be found at any time, in any place, and inside anyone, much like Alfred Hitchcock's Psycho, The Thing works on every level, and represents the peak of each and every aspect that may be utilized to make horror films effective. Granted, this amalgamation of styles is not the only formula for winning horror.The basic plot about this movie is Horror-moister John Carpenter (Halloween, Escape from New York) teams Kurt Russell's outstanding performance with incredible visuals to build this chilling version of the classic The Thing. In the winter of 1982, a twelve-man research team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Once unfrozen, the form-changing alien wreaks havoc, creates terror and becomes one of them.It is one of the best favorite horror films of the 80's ever. I love this film to death. The Thing is the best classic horror film from master and genius John Carpenter! 'The Thing' is classic Carpenter and one of the few remakes that is better than the original. Kurt Russell's characters: Snake Plissken, R.J. MacReady and Jack Burton are Kurt's best favorite characters he ever played. I also love the music score from Ennio Morricone! Awesome!!! 10/10 Grade: Bad Ass Seal Of Approval","
            10/10
            "
"hitchcockthelegend","4 March 2008","John Carpenter shows how much he loves the 1951 original by giving it the utmost respect that he possibly could, the only difference here is that Carpenter chooses to stick to the paranoiac core of John W Campbell Jr's short story.The secret to this version's success is the unbearable tension that builds up as the group of men become suspicious of each other, the strain of literally waiting to be taken over takes a fearful hold. Carpenter then manages to deliver the shocks as well as the mystery that's needed to keep the film heading in the right direction.Be it an horrific scene or a ""what is in the shadow"" sequence, the film is the perfect fusion of horror and sci-fi. The dialogue is laced with potency and viability for a group of men trying to keep it together under such duress, while Ennio Morricone's score is a wonderful eerie pulse beat that further racks up the sense of doom and paranoia seaming throughout the film.The cast are superb, a solid assembly line of actors led by Carpenter favourite Kurt Russell, whilst the effects used around the characters get the right amount of impact needed. But most of all it's the ending that is the crowning glory, an ending that doesn't pander to the norm and is incredibly fitting for what has gone on before it. Lets wait and see what happens indeed. 10/10","
            10/10
            "
"preppy-3","6 December 2003","Remake of the classic 1951 ""The Thing From Another World"". 12 men are in a completely isolated station in Antartica. They are invaded by a thing from outer space--it devours and completely duplicates anything it chooses to. It starts off as a dog but gets loose--and has a chance to duplicate any of the men. Soon, nobody trusts anyone else--they're isolated--the radio is destroyed--their helicopter likewise. What are they going to do?The 1951 film had the thing just be a big, super human monster. That movie was scary. This one is too--but the story is different (and based more closely on the source material--the novelette ""Who Goes There?"") and it's scary in a different way. The movie starts right off with Ennio Morricone's extremely eerie score setting just the right tone and--when the Thing gets attacked--the amount of gore is astounding. There's blood and body parts flying all over--arms are bitten off, heads detach and--in the strongest one--one man is devoured face first by the Thing. The gore effects are STRONG and real nightmare material. I don't scare easy but I had to sleep with the lights on when I saw this originally back in 1982. Rob Bottin's effects are just incredible--how this picture got by with an R rating is beyond me!It also has a very creepy feel--gore aside, it is very suspenseful. You're not sure who is what and Carpenter's direction and the score really build up the tension. One complaint--no one is given any distinctive personality traits. They actors just remain straight-faced and say their lines. That's annoying...but the movie still works.This was a critical and commercial disaster in 1982--it competed with ""E.T."" and MANY critics complained about the amount of gore and there being no female characters in the movie. It's now considered one of John Carpenter's best. A must-see...for strong stomaches. NOT a date film!An amusing note: When this was released Universal sent a note along with all prints of the film. They suggested to theatre owners that they play the film in an auditorium near the rest rooms. They were afraid that people would be so sickened by the violence that they'd have to be close to a facility to throw up!","
            10/10
            "
"Gafke","28 December 2003","This is another one of those films that I remember staying up late to watch on TV, scaring the crap out of myself at the impressionable age of 12 or so and dooming myself thereafter to a life of horror movie obsession. This is a GREAT movie, and stands as living proof that there were indeed realistic effects before CGI.Set on an isolated base in Antarctica, this version seems almost to pick up where the original version (The Thing From Another World) left off. The American scientists discover a decimated Norwegian base some miles distant. Everyone is dead, and only the half charred remains of some unidentifiable thing left to smolder outside the compound might offer any answers to what may have happened. The Thing is brought back to the American base and, too late, the scientists realize that it is alive and lethal. The Thing thaws out and is off, not only killing anyone and anything that crosses Its path, but also absorbing them, making Itself into whoever and whatever it wants. The film then turns into a brilliant paranoia piece. Everyone is suspect, anyone can be The Thing, and no one trusts anyone anymore. Gone is the strength and security found when human beings band together in spite of their differences to battle a monster. The group splinters and fear rules supreme. Who is the Thing?The gore effects here are absolutely amazing and messily realistic. I could have done without the dogs head splitting open like a banana peel, but that's just the animal lover in me being picky: kill all the humans you want, but leave the kitties and puppies alone. Sanity and reason disintegrate rapidly as, one by one, the humans are taken over by the shapeshifting alien. The power of this film lies in its paranoia, and although I liked the original version, I prefer this one; the real threat lies within, and is scarier for the fact that it cannot be seen or easily detected. When it is forced out of hiding, it's wrath is huge and the results are horrific.This is one of Carpenters best films, right up there with The Fog and Halloween. All of the actors give strong, realistic performances and the special effects are so powerful that they stand as their own main character. This film has something for any lover of the horror genre. Don't miss it.","
            10/10
            "
"I_Ailurophile","19 December 2020","""The ultimate in alien terror,"" it says. It's not wrong. This is it. This is the greatest horror film ever made. John Carpenter's A-#1.Cinema is full of great creature designs, yet The Thing bests them all. Every incarnation we see of the creature, and all the practical effects and set pieces that bring it to life, are the best that the industry has to offer. The most realistic CGI will never compete.The paranoia and distrust in the outpost is palpable. Carpenter crafts a tangible atmosphere of desperation and suspicion, from the unassuming beginning to the classic, ambiguous end--one of my very favorite endings from any movie, ever.Composer extraordinaire Ennio Morricone lends his great skills with a minimalist, synth-driven score that adds immensely to the building unease. It very well complements the performances of the excellent ensemble cast that bring every feeling of terror and wariness to life. Kurt Russell once again shines as Carpenter's lead, MacReady, and Keith David is superb as the antagonistic Childs. It's easy to overlook other cast members with smaller roles and less time on screen--even the unmistakable Wilford Brimley--but have no doubt, they're all just as good, just as essential to the picture.Once again: not only is John Carpenter a master storyteller, a fantastic director generally, but his greatest skill is in slowly building the tension and suspense in his pictures until the explosive finale. He does it so well that it's impossible for the viewer not to experience the same misgivings, the same sense of horror, as the characters on-screen--not because you're watching it, but because you FEEL it just as deeply.It's violent, it's gory, and broadly it may not be for everyone. But this needs to be seen by anyone with the slightest interest in horror, or creature features, or with a keen interest in cinema history as a whole. Similar stories may be told, but there are no and will never be any imitators.","
            10/10
            "
"Rainfox","27 May 2000","* * * * ½ (4½ out of 5)
The Thing
Directed by: John Carpenter, 1982
Looking back on John Carpenter's The Thing  today a highly treasured cult favourite  one has to wonder why it was dismissed by both the audience and critics when it first came out in 1982.
Steven Spielberg's extra terrestrial adventure about a sweet alien that phoned home (that stole the hearts of both children and adults world wide) had opened just two weeks before and was on its historic box office rampage. Bad scheduling may have had a greater impact than anything else on the fate of Carpenter's first big studio effort for Universal Pictures. Nobody was prepared  moreover wanted anything so dark, gory and scary as this genuine remake of the famous 1951 original. This was the time of E.T.: The Extra-Terrestrial.
It then makes for great movie history trivia, that The Thing has gained such a remarkable afterlife on video, DVD and television. Both financially and critically. Carpenter's version is less a remake of the Howard Hawks' version than a more faithful adaptation of John W. Campbell's short story ""Who Goes There?' (on which both were based), and critics today point out how well Carpenter plays his characters against each other. Kurt Russell will never top this one, and he gets a brilliant sparring from the entire cast.
It opens in Antarctica with a sled husky running from a pair of crazed and armed Norwegian men in a helicopter. The scene is long, slow and uneasy. It feels like the Apocalypse. It oozes doomsday.
This scene comprises one of the greatest opening sequences in film history.
Ennio Morricone's moody synth score (heavy on naked thumping bass lines in classic Carpenter style), the windswept massive white of the desolate polar ice and the majestic husky running across the tundra chased by the chopper, compromises a completely mesmerizing piece of scenery.
A satisfying example of a movie that today  18 years after  looks downright muscular in its simplicity.
The budget was big ($14 mill), yet it allowed Carpenter to visualize his ideas better than ever before. There's a brooding darkness to this film, making the whites and blues of the icy Antarctic claustrophobia seem poetic and almost angelic. Dean Cundey's extraordinary photography created a palpable chill to every shot. The careful preparation (the crew went into a record 11-month pre-production) paid off immensely.
Horror specialist Rob Bottin was handpicked for the many gory and grotesque special effects. Be warned  there's a lot of splatter and gore here. The Thing is actually notorious for its creature morphing scenes. Some find them disgusting, some mere cult.An argument could be made against The Thing being an Alien rip-off; it has its origins in an old sci-fi story and it creates tension by popping a crowd of people (note: all-male) on an isolated outpost (an Antarctic research facility) terrorized by an alien life form.
Where Carpenter was clearly inspired by Ridley Scott's 1979 masterpiece, his own alien movie is original and intriguing in its own right. There's a rhythm and an environment that equals Scott's in every way.
The husky was in fact half-wolf and half-dog, and it was noted that it never barked or growled on or off the set (Horror Takes Shape, the making of - DVD version).
Watch in awe at the scene where it walks through the hallway and stares at a human shadow, slightly tilting its head forward in stalking position like a wild wolf. This is a fine piece of animal training, sure, but that's not the point. This is as spooky as anything ever made in a horror movie.
Carpenter had all the right tools here, and he utilized them to perfection, making The Thing his best movie alongside Halloween.","
            9/10
            "
"Stibbert","11 July 2005","Antarctica, winter 1982. The team on an American research base get surprised by a couple of mad Norwegians who is chasing a dog with a helicopter, trying to kill it. All the Norwegians are killed and the Americans are left with nothing, but a dog, a couple of bodies and questions. That's the beginning of the greatest horror/thriller film I've ever seen.From the very beginning all to the end you feel the tense, paranoid mood. Helpless and alone out in no-mans land. Ennio Morricone was nominated for a Razzie Award for his score. Why I don't know 'cause as far as I can see his score is simple, creepy and very good. It really gets you in the right mood.The acting is great! The best performance is probably given by the dog who's just amazing. As for Russell and the others on two legs I can say nothing less.You may think 1982 and special effects are not the most impressive? Well, think again! You haven't seen it all until you've seen this. Bodyparts falling off and creatures changing forms... Rob Bottin has done a great job witch today stands as a milestone is special effects makeup.The movie didn't get a big response when it first hit the big screen due to other alien films at the time and so it's not very well known. In fact you can almost consider it an unknown movie. Nobody I've asked have heard of it. However the movie has managed to survive for over twenty years as a cult film on video and DVD. Twenty years is a long time and except for the haircut the movie is still pretty much up to date. This movie is to be considered a classic.The movie is without doubt one of my, if not my favorite. I've seen it several times, but it's just as good as the first time I saw it. As a Norwegian the only thing I don't like about this movie is that MacReady keeps calling the Norwegians swedes!","
            10/10
            "
"PeachHamBeach","22 May 2008","The silly saying, ""You can't touch this"" surely applies here. With all the clone horror and sci-fi films coming out, along with all the inferior remakes, it's hard to find anything worthy of 2 hours of your time. That's why I always rely on the classics that scared the weewee out of me when I was a pre-teen.THE THING is, without an ounce of doubt in my mind, the goriest, ickiest, screechiest sci-fi horror classic that John Carpenter, or any other director (sorry, even you Mr. Spielberg) ever made. What really gives it power, though, is not the gore (it OOOOOZES of slime and blood and God knows what other fluids), but rather the sense of dread, isolation, and distrust it fosters in the characters and the viewer.You can't get more remote than Antarctica, and in this howling, freezing white setting is where the story takes place. Several Americans, researchers and military men, are stationed there. One day, they witness a Siberian Husky dog running for dear life from gun-wielding Norwegians. Before they know it, the American outpost is battling a mysterious creature that can imitate any creature it wants. It may morph into disgusting slimy bloody shapes before it's finished, but once it's finished, if you didn't see it in progress, you can't tell it among humans or other normal Earth animals.Kurt Russell, Keith David, Wilford Brimley, Richard Masur, Donald Moffatt, TK Carter, Thomas Waites and Charles Hallahan are just a few of the fine cast. This film is the reason why horror CAN be a great genre. It actually STILL scares me. The alien blood ""jumping"" out of the petri dish when the hot wire touches it still makes ME jump!!!Still the scariest of them all.","
            10/10
            "
"Leofwine_draca","12 November 2016","Although this film clearly got made due to the success of ALIEN, I actually find it the better of the two. I certainly consider it Carpenter's joint best, along with that one with the Michael Myers guy. This is a film based on John W. Campbell's story ""Who Goes There?"", which also inspired the 1951 flick THE THING FROM ANOTHER WORLD which saw James Arness as a killer carrot-man in the same setting. Carpenter is closer to the original story, as his menace is a gory shape shifting alien which consumes and imitates its prey – forget the T1000, he has nothing on this thing. The look of the creature is extremely disgusting and disturbing and hard to forget – imagine some Lovecraftian terror in the flesh, covered in blood and tentacles and other less describable body parts, and you're halfway there.The rest of the special effects are incredible; witness heads slide off bodies and turn into spiders, and the infamous and gut-wrenching kennel transformation which I had the misfortune to watch when I was but a boy. You can bet I had plenty of sleepless nights after watching that one. Plenty of blood, gore, and violence throughout make this one of the hardest of horrors. Yet despite all the effects, this is still a plot-driven movie with absolutely loads of suspense and tension – not to mention a near overwhelming paranoia throughout.There are many imaginative moments – the opening sequence, in which Norbert Weisser tries to kill a poor little doggie – to the excellent blood test scene, in which the guys are tied down whilst Russell tests their blood samples for the alien virus. Russell is subdued but great and as an ensemble, the rest of the guys are true to life and so believable, which makes it all the more horrific. Every outburst, crack-up or breakdown seems to be happening for real and we do learn to care about these very natural researchers trapped in the worst scenario imaginable. Add to this a spooky Morricone score and you have a super movie about which I can say no more – except that you watch it for yourself.","
            8/10
            "
