"","Brand_Description","Price","Review_Count","Rating"
"1"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OUPINKE Mens Watches Fashion Sport WristWatches Multifunction Chronograph Analog Quartz Luminous Waterproof Calendar Stainless Steel Bracelet  4.8 out of 5 stars 10  $39.77$39.77 List: $69.00$69.0010% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","39.","10","4.8 out of 5 stars"
"2"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Diella Luxury Dress Watches for Men with Japanese Quartz Movement, Men's Classic Wrist Watches with Black Leather Band, Dark Jade, Gold and Steel Case, Date Luminous and Waterproof (Model: AD5002G)  4.5 out of 5 stars 61  Limited time deal   $69.30$69.30 List: $99.00$99.00FREE delivery Wed, Feb 7 to Philippines ","69.","61","4.5 out of 5 stars"
"3"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OUPINKE Watches for Men Luxury Automatic Mechanical Tungsten Steel Casual Luminous Wristwatch Waterproof Sapphire Calendar Watches  4.3 out of 5 stars 108  $368.00$368.0010% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines ","368.","108","4.3 out of 5 stars"
"4"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OLEVS Mens Watches Fashion Casual Analog Quartz Watch Waterproof Dress Wrist Watches with Stainless Steel Band Day Window for Men  4.1 out of 5 stars 60  $39.88$39.8810% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","39.","60","4.1 out of 5 stars"
"5"," Casio G-Shock GWM5610-1 Men's Solar Black Resin Sport Watch  4.8 out of 5 stars 7,315  1K+ bought in past month$91.99$91.99 List: $150.00$150.00FREE delivery Wed, Feb 7 to Philippines ","91.","7,315","4.8 out of 5 stars"
"6"," Amazfit Bip 5 Smart Watch with Ultra Large Screen, Bluetooth Calling, Alexa Built-in, GPS Tracking, 10-Day Long Battery Life, Health Fitness Tracker with Heart Rate, Blood Oxygen Monitoring- Black  4.2 out of 5 stars 5,098  1K+ bought in past month$84.99$84.99 List: $89.99$89.99FREE delivery Wed, Feb 7 to Philippines Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more ","84.","5,098","4.2 out of 5 stars"
"7"," Men's Classic Dive Style Watch, 200 M WR, Screw Down Crown and Case Back, MDV106 Series  4.7 out of 5 stars 28,008  2K+ bought in past month$49.55$49.55 List: $74.95$74.95FREE delivery Wed, Feb 7 to Philippines ","49.","28,008","4.7 out of 5 stars"
"8"," Casio Men's A158WA-1DF Stainless Steel Digital Watch  4.6 out of 5 stars 38,251  6K+ bought in past month$20.31$20.31 List: $22.95$22.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","20.","38,251","4.6 out of 5 stars"
"9"," Casio F91W-1 Classic Resin Strap Digital Sport Watch  4.6 out of 5 stars 49,492  7K+ bought in past month$16.88$16.88 List: $22.95$22.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","16.","49,492","4.6 out of 5 stars"
"10"," Casio Men's G-Shock Quartz Watch with Resin Strap, Black, 20 (Model: DW5600E-1V)  4.7 out of 5 stars 20,925  1K+ bought in past month$49.10$49.10 List: $74.95$74.95Delivery Wed, Feb 7 to Philippines ","49.","20,925","4.7 out of 5 stars"
"11"," Invicta Men's Pro Diver Collection Coin-Edge Automatic Watch  4.5 out of 5 stars 39,938  1K+ bought in past month$64.91$64.91FREE delivery Wed, Feb 7 to Philippines ","64.","39,938","4.5 out of 5 stars"
"12"," Timex Men's Expedition Scout 40mm Watch  4.4 out of 5 stars 21,668  2K+ bought in past monthLimited time deal   $33.32$33.32 List: $62.00$62.00FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","33.","21,668","4.4 out of 5 stars"
